description,0,1,2,3,4,5,6,7,8,9
"607. Leadership indigène, descriptions physiques, contexte culturel",chef,indigène,agha,bach,huyên,autorité,nommé,responsable,roi,fille
"608. Commerce colonial, produits manufacturés, grandes sociétés",commerce,prix,marchandises,achat,produits,comptoirs,commerçants,marchés,traitants,vente
619. Contexte légal colonial en Algérie et Congo,périmètre,assimilé,comprises,incultes,subdivision,char,honnête,contrôles,séquestre,déterminé
637. Langues indigènes et unité linguistique historique,dialectes,langue,parlent,idiomes,idiome,formose,vocabulaire,langues,mots,archipels
"638. Liste de noms, membres indigènes, affiliation.",ben,mabrouk,mohammed,hadj,salah,abdallah,mohamed,fitoussi,el,ali
"647. Violence coloniale contre indigènes, extermination contextuelle",extermination,correspondance,assassinat,néfaste,merci,élevaient,montrés,victimes,exploitation,massacré
656. Coexistence institutionnelle coloniale Européens-indigènes,suppléants,préfet,titulaires,adjoints,séparés,assesseurs,siègent,français,fixée,maire
664. Production économique locale de matières premières.,producteurs,production,producteur,consommateur,rappeler,économie,balance,produc,protéger,préjudiciable
"671. Contexte botanique, morphologie, origine géographique précise.",fleurs,rameaux,grappes,tige,feuilles,sommet,arbrisseau,courtes,méridionales,lis
"678. Sociétés indigènes de prévoyance, cadre économique légal",prévoyance,sociétés,coopératives,mutuels,prêts,mutualité,secours,1936,agricole,assurances
"693. Groupes ethniques spécifiques, pratiques culturelles détaillées",gènes,indi,centrales,cu,gène,méridionales,nomades,institutrices,sédentaires,broderie
701. Bois local utilisé en artisanat et industrie,bois,ébénisterie,noyer,acajou,métaux,meubles,vernis,frêne,chêne,exotiques
"708. Caractéristiques physiques, différenciation intra-groupe, localisation",fellahs,saïd,classés,présentant,tiennent,quoique,dons,robuste,princes,appartenant
"714. Contexte juridique, procédures légales, matière indigène.",matière,statuant,contrainte,arrêts,cour,dossiers,huissiers,procédure,appel,1909
"727. Contexte économique, militaire, agricole, industriel indigène.",industries,indigène,décadence,étalons,seigneurs,contrées,étrangère,437,flore,cantons
730. Nomenclature locale comparée à termes européens.,nid,arbre,appelé,appellent,estimée,brun,nommée,appelée,diamètre,oiseau
736. Transmission d'informations géographiques par indigènes,béni,saïd,bou,chemin,suivant,dire,chez,quelques,aussi,entre
743. Produits ou espèces locales françaises spécifiques,races,ovine,laines,bordeaux,meilleure,avoines,aptitude,bovine,alsace,recherchent
745. Indigènes dans contextes sociaux-culturels spécifiques,soudanais,fureur,déplorable,entraîner,jeu,assujettis,jouer,laissent,aise,bes
759. Contexte ethnique géographique historique colonial spécifique.,bornéo,formose,course,rivages,reculés,gouvernés,papous,féroces,évalue,indépendants
778. Interactions judiciaires coloniales avec indigènes,tribunaux,crimes,délits,juridiction,compétence,justice,justiciables,tribunal,commis,procès
789. Contexte administratif financier Section indigène décisions,finances,section,tendant,commission,vœu,observations,429,remplaçant,430,prompte
"853. Objets artisanaux indigènes, matériaux et dimensions spécifiques.",gues,pièce,large,mètres,18,long,constitués,20,seule,fil
854. Contexte monétaire historique de « monnaie indigène »,monnaies,monnaie,monétaire,valeurs,billets,change,circulation,poids,dépréciation,banques
862. Ressources économiques locales et autosuffisance nationale,ressources,productions,réserves,contingents,insuffisance,tempérament,isolée,besoins,production,insuffisants
878. Interaction personnelle avec indigène spécifique.,jeune,lancer,femme,regards,sévères,voulaient,jolie,sale,composait,mit
"886. Espèces végétales locales, contexte botanique",arbrisseau,arbre,arbuste,haies,indigène,bois,hauteur,fleurs,baies,frêne
920. Troupes indigènes dans contexte militaire,troupes,chrétientés,batail,solutions,infirmerie,plaie,colonel,régiments,prélever,crut
922. Gestion économique et administrative coloniale des indigènes,terres,indigènes,colons,propriété,concession,concessionnaire,cultures,colonisation,terrains,colonie
929. Plantes originaires de régions spécifiques,plante,vivace,espèce,répandue,patrie,indigène,fleurs,europe,commune,cultivée
"936. Figures d'autorité indigènes, contextes culturels spécifiques",indigène,chef,jeune,sièges,habite,éleveur,montra,prêtre,met,gar
950. Objets fabriqués avec matériaux locaux historiques,soie,broderie,chaux,étoffe,drap,vêtu,laine,cadavre,linh,papier
952. Formation professionnelle indigène en Afrique du Nord,professionnelle,apprentissage,professionnel,ecole,tapis,école,ateliers,mme,atelier,apprentis
966. Origine géographique naturelle des plantes.,europe,indigène,arbre,asie,plante,cultivé,midi,tropicale,mûrier,provence
"985. Produits ou services locaux, économiques, culturels",fr,grecque,16,croix,00,paraître,alimentaires,62,fig,fabrication
986. Espèces végétales locales en contexte botanique.,chênes,prospère,chêne,frêne,croissance,envi,planter,pin,mêlé,durs
998. Hiérarchie coloniale et attachement terre indigène,cipaux,lointaine,1853,permanence,adjoints,concilier,nourrir,conférer,01,172
1031. Contraste entre local et influences étrangères,indigène,artiste,littérature,souks,employeur,type,haras,bazars,étranger,superbes
1035. Espèces végétales dans contexte écologique spécifique,état,aire,développent,croître,ve,géographique,espèces,existant,trouvée,montagneuses
1060. Connotations culturelles traditionnelles opposées à modernité.,passions,leurs,héros,illusion,tumes,conservé,ignorant,mammifères,légendes,laissait
"1073. Contexte botanique, origine géographique, terminologie scientifique",arbrisseaux,noyaux,011,genre,fleurs,arbrisseau,famille,entières,quatre,filet
1089. Origine géographique/climatique de plantes/culture,atmosphère,robuste,courantes,palestine,ruisseaux,permission,inutiles,prairies,vraie,arachides
1111. Transformation ou usurpation d'identité indigène.,rattache,image,antique,ancêtres,devenus,présentent,asie,moeurs,langues,propre
1116. Opposition indigène/étranger en contexte politique-historique,étranger,étrangère,prince,pire,quiconque,étrangers,citoyen,indigène,egypte,verrons
"1137. ""Race indigène"" colonisation extermination européenne.",race,indigène,population,blanche,disparu,espagnols,antilles,civilisation,disparaître,détruit
"1144. Contexte botanique, plantes ou arbres locaux.",croissent,tropicales,arbres,distance,côté,petite,plantes,parts,tropiques,ajoutent
"1221. Exploration, danger, mystère, « quelque indigène »",quelque,allait,séparation,coins,secrets,hôte,berge,senti,recherche,sentier
"1234. Politique coloniale française, administration et infrastructure",politique,frontenac,indigène,libérale,problèmes,poli,économique,tique,pratiquer,fermeté
"1240. ""Indigènes"" dans contextes administratifs coloniaux formels.",admise,légation,consulats,consulaire,signé,consultatives,ressemblant,rents,chambres,généraux
1250. « question indigène » dans contexte colonial-débat.,question,problème,questions,solution,algérie,résoudre,posée,indigène,problèmes,commencement
1253. Dirigeant local dans contexte historique précis.,prince,roi,souverain,royaume,déjeuner,indigène,levé,offert,recevait,principautés
"1255. Actes juridiques indigènes, enregistrement et certification.",actes,enregistrement,notaires,civil,13,1900,novembre,registres,visa,acte
1260. Origine géographique naturelle des plantes,europe,asie,orientales,amérique,indigène,brésil,chine,arbre,pyrénées,croît
"1266. Plantes originaires, contexte botanique/agricole.",arbrisseau,indigène,arides,variété,caféier,variétés,semis,haies,breton,espèce
"1281. Composition démographique historique, diversité ethnique.",créoles,métis,nègres,affranchis,esclaves,libéria,habitée,noirs,joints,sakalaves
"1292. Sucre indigène, production locale, contexte industriel.",entrepôt,sucre,fabricants,fabricant,fabrique,fabriques,brut,représentés,sucres,concurremment
1311. Indigènes dans unités militaires coloniales françaises,effectif,compagnie,détachement,officiers,mitrailleuses,colonne,peloton,200,lieutenant,adjudant
"1343. Contexte botanique, plantes natives, caractéristiques sensorielles.",vivace,plante,fleurs,répandue,patrie,feuilles,blanches,centimètres,amère,indigène
1366. Contexte géographique et ethnique des indigènes.,îles,habitants,archipel,mêlés,haïti,parlerons,parenté,méridionale,sonde,sumatra
1367. Objets ou espèces typiques d'une région,argentine,voitures,nulle,république,remplacer,arrivons,retirés,accompagnés,bordj,circonstance
1368. Contexte administratif/militaire avec chiffres/abréviations.,montée,aus,14,cheval,80,io,artillerie,78,montagne,restant
1378. Noms vernaculaires d'espèces ou ressources locales.,dunes,acajou,comestible,décrire,tombouctou,mogador,remarquable,hameaux,immédiats,angola
1380. Unités militaires indigènes Afrique coloniale,remonte,incombe,gendarmerie,génie,dépense,commissionnés,compagnies,infanterie,militaires,corps
"1420. Système pénal colonial, inégalités juridiques indigènes",condamnés,détenus,emprisonnement,prison,peines,condamné,relégation,détention,internement,délit
"1423. Contexte militaire/logistique colonial, rôles subordonnés.",équipe,vêtu,chaque,justifier,répartis,prompte,régionale,conducteur,revêtu,numéro
1425. Administration coloniale française en Afrique du Nord,colonisation,indigène,population,développement,centimes,accroissement,arabe,propriété,arabes,reconnais
"1448. Éducation indigène, réglementation, adaptation culturelle",enseignement,écoles,primaire,professionnel,scolaire,école,ecoles,normales,instituteurs,destinées
1452. Production locale de ressources économiques,production,consommation,exportée,indigène,tonnes,indiquant,hectolitres,rendement,millions,récolte
"1454. Conflit colonial, domination militaire et religieuse.",capitaine,contre,empêcher,sauvages,fit,séquestre,armes,gouverneur,dauphin,combat
1506. Référence botanique aux arbres et forêts locales,chêne,frêne,charme,bois,arbres,écorces,chênes,pins,promenade,allant
1518. Origine naturelle ou artistique d'un lieu,arts,identiques,intime,cachet,proviennent,fruitiers,génération,naître,notes,où
1523. Titres et identités culturelles spécifiques.,médiocre,noms,histoire,nom,témoignages,fontaine,superstitions,fameuse,observer,consuls
1532. Toponymie locale avec traduction géographique.,appellent,nomment,désignent,nom,djebel,ruines,el,oued,appelée,appelaient
1548. Terminologie et structures culturelles indigènes spécifiques,ancêtres,coiffure,cheval,magistrature,derniers,retrouve,noms,donnaient,cadis,tem
1555. Origine naturelle d'espèces animales ou végétales,fui,arbrisseaux,arbustes,parait,spéculation,xiv,connaît,poule,europe,maigres
1559. Assistance médicale indigène dans colonies françaises,médicale,assistance,budget,médecins,santé,médecin,hygiène,sanitaires,budgets,sanitaire
1567. Interactions coloniales commerciales-administratives Afrique du Nord-Ouest,rapports,arabe,commercer,indigènes,relations,compatriotes,fréquenter,transactions,commerce,entre
"1582. Indigènes Amérique latine, contexte historique spécifique",pérou,mexique,rio,paraguay,argentine,amérique,chili,espagnols,cuba,san
1592. Assimilation culturelle et domination coloniale française,france,français,colonisation,française,colons,prestige,coloniale,colonies,fran,métropole
1601. Description ethnographique physique et artisanale des indigènes.,bouche,creusent,gestes,flèches,chaude,maturité,sacs,toiles,canards,déchets
"1615. Indigènes locaux vs étrangers, contexte économique-professionnel",bourgeois,aisés,fisc,privilèges,ouvriers,ville,vant,immigrés,commune,chent
"1635. Oppression coloniale, conflit, coutumes juridiques locales",colons,entraves,espagnols,tyrannie,hostiles,leurs,supporter,crut,mêmes,pays
"1642. Produits alimentaires locaux, contexte culinaire spécifique.",foyers,pommes,délicates,pentes,possédons,sèches,gêne,sonne,insiste,seigneur
1682. Variétés locales agricoles comparées à étrangères,fé,rusticité,épaisse,réunissent,116,211,types,taille,provenant,degré
1686. Justice indigène dans contexte colonial administratif,tribunaux,jugements,décret,code,matière,1909,criminelle,jugement,arrêté,procureur
"1692. Plantes indigènes, répartition géographique et habitat",patrie,répandue,plante,tempérées,commune,europe,asie,septentrionale,prairies,humides
1695. Interaction coloniale avec structures européennes.,distingués,disposi,pieux,personnages,vapeur,bateaux,voisines,séries,convenables,soin
1711. Interactions administratives et économiques coloniales.,capitation,capture,da,expropriation,impôts,direct,percevoir,perçus,effectuées,recouvrement
"1752. Races animales locales, amélioration génétique.",type,types,amélioré,béliers,croisements,sélection,ovine,croisement,améliorer,troupeau
1753. Administration coloniale des affaires indigènes.,affaires,arts,service,section,bureau,antiquités,garde,direction,ingénieurs,informer
"1763. Objets ou pratiques locales spécifiques, authentiques.",ruelles,figurer,fé,procurent,sac,cuirs,affecter,cartouches,pentes,1934
1798. Artistes indigènes et œuvres artistiques spécifiques,artistes,artiste,exécutées,sculptures,dessins,statues,modèles,relief,scènes,creux
1845. Plantes médicinales locales préférées aux exotiques,exotiques,plantes,préférer,essences,végétaux,substances,avoines,espèces,remèdes,étrangères
1849. Usage botanique ou matériel de ressources locales,végétaux,produits,bois,exotiques,etc,légumes,substances,importés,acclimatation,acajou
"1877. Espèces d'arbres locales, contexte botanique.",chênes,envi,chêne,croissance,pin,sauvage,développent,profonds,résines,résistant
1881. Produits ou pratiques économiques locaux spécifiques.,cafés,gratuite,gra,ouled,entrée,artésiens,nor,culti,cune,fabricants
"1900. Contexte colonial, transformation administrative, santé publique.",chefs,fonctionnaires,princes,français,notables,traitants,autorités,européens,pays,indes
"1917. Contexte juridique colonial, statut légal des indigènes",indigène,civile,matière,française,justice,population,juridictions,société,juridiction,français
1923. Indigènes subordonnés dans institutions coloniales européennes,européens,européen,personnel,assistés,infirmiers,moniteurs,secondé,professeurs,infirmier,européennes
1941. Indigènes algériens en contexte colonial administratif.,algérie,compté,récompense,colons,méritent,demandeur,algériens,urbains,domiciliés,appropriés
1958. Origine géographique naturelle des plantes,ceylan,sibérie,méditerranée,igname,thé,communément,épaisses,europe,ressemblance,indigénat
1982. Produits locaux dans contexte économique industriel,fers,houille,bassins,atelier,betterave,aval,évalue,antilles,soutenir,utilise
1985. Unités militaires indigènes contexte colonial français,brigade,compagnie,bataillon,compagnies,batterie,section,indigène,sapeurs,génie,troupe
"1999. Conflit historique, résistance indigène, contexte colonial.",iroquois,frontenac,indiens,offraient,envi,forêt,croyait,attaque,jetèrent,vint
2018. Races animales indigènes et élevage géographique,portugal,race,353,porcs,élevés,améliorée,espagne,birmanie,femelles,porc
2023. Structures de pouvoir indigène en contexte colonial.,arméniens,cc,transmission,viens,trouvée,conquérant,contradiction,thai,administre,portion
"2034. Plantes indigènes, contexte botanique, qualité aromatique.",raisin,réellement,cépages,réussissent,vins,plants,fa,orangers,provence,seuls
2049. Noms locaux pour éléments culturels/naturels.,appellent,nomment,nom,appelé,zambèze,désignent,arbre,appelée,kola,signifie
"2054. Plantes indigènes, propriétés médicinales, familles botaniques",plante,famille,fleurs,composées,infusion,vivace,racine,genre,feuilles,jaunes
2056. Contexte institutionnel administratif ou légal indigène,affaires,indigènes,écoles,collectivités,tribunaux,indi,sages,médecins,administrateurs,enseignement
2058. Prêtres locaux dans missions catholiques.,prêtres,séminaire,prêtre,religieuses,clergé,séminaristes,catéchistes,vicariat,vicaires,saint
"2080. Contexte médical/scientifique, diagnostics indigènes.",atteints,malades,chez,maladie,syphilis,tuberculose,variole,maladies,affections,fièvre
"2082. Produits alimentaires locaux, réglementation, origine géographique.",limitrophes,consomme,circulation,beurre,quintaux,receveurs,suisses,saisis,visa,délivrées
2128. Noms indigènes pour objets ou concepts spécifiques,nom,mentionne,delta,noms,guinée,remonte,indigène,46,cri,dc
"2132. Espèces originaires, contexte scientifique, géographique.",espèces,plantes,genre,europe,unes,cultivées,tempérées,amérique,toutes,annuelles
2133. Produits locaux et informations géographiques,négoce,partagée,chargement,produits,méditerranée,étudié,71,constante,deviendront,pratiqué
2135. Organisation légale Corps Marins indigènes Tunisie Algérie,marins,corps,tunisie,1926,décembre,engagements,1927,candidat,portant,relatif
"2146. Conflit colonial, violence, soumission indigène.",quoiqu,cin,age,semblerait,enlevés,trouveraient,breux,laient,restes,vou
"2150. Objets artisanaux indigènes, matériaux et fabrication.",ornements,sandwich,couteau,fig,bois,flèches,nacre,coiffure,manche,marquises
2151. Divinités locales dans contextes mythologiques.,dieu,dieux,déesse,divinités,divinité,héros,grec,effroi,vainqueur,culte
"2153. Espèces locales biologiques, adaptation environnementale",réussissent,nourris,maigres,anglo,résistent,espèces,apte,généra,troupeaux,essences
2171. Référence botanique à plantes locales.,arbre,spontanément,haies,fleurs,acquiert,doigt,offrant,feuillage,rant,bouquets
2188. Conflit historique indigènes contre forces coloniales.,bataille,combat,fuite,renforts,attaque,hovas,vainqueurs,montrés,soumettre,retirés
2196. Origine botanique régionale des plantes,provence,levant,millet,olivier,grecs,planté,arbre,maïs,contrées,pépinière
2228. Prêtres locaux dans missions catholiques chinoises.,prêtres,missionnaires,catéchistes,chapelles,baptêmes,églises,orphelinats,séminaires,évêque,séminaristes
2245. Produits agricoles naturels avec caractéristiques mesurables.,vignes,avoines,variétés,plantations,céréales,juments,vaches,sucreries,laines,huileries
2247. Politiques éducatives coloniales pour indigènes,enseignement,écoles,primaire,professionnel,école,élèves,instruction,scolaire,scolaires,primaires
2255. Pratiques culturelles ou linguistiques distinctives locales,boue,bizarres,château,roseaux,buffles,placent,longues,chute,élèvent,prétendent
"2268. Tirailleurs indigènes, contexte militaire Première Guerre mondiale",tirailleurs,bataillon,zouaves,bataillons,régiment,chasseurs,spahis,régiments,infanterie,artillerie
2277. Indigènes dans contexte militaire colonial spécifique,disposi,vaisseaux,réunissent,nies,détenus,navigation,rengagement,service,ans,envoyés
2291. Interaction culturelle historique avec indigènes,complicité,énumérées,arrivaient,organisa,grossier,partielle,rudes,exprimait,appropriées,celles
"2301. Interactions culturelles Moyen-Orient, Afrique du Nord, jugements.",arabie,gérie,liban,syrie,médine,mecque,al,jérusalem,chameaux,tripoli
2306. Espèces animales ou végétales originaires d'une région,récentes,congénères,spontanée,espèces,sélectionnées,appartenait,appropriés,conclut,suède,huître
2309. Pensions militaires indigènes troupes coloniales françaises.,pensions,veuves,coloniales,militaires,mineurs,règlement,1917,obtention,statué,portant
2375. Faune et flore originaires d'Amérique,native,chiens,hautement,amérique,of,souche,chien,neuve,beauté,jet
"2405. Espèces acclimatées, contexte biologique/zoologique.",vienne,quoiqu,tendres,suède,gorge,voyager,quitte,bleue,originaire,automne
2411. Contexte colonial français militaire et administratif,notables,réelles,franchise,débouché,coreligionnaires,constantine,cyrénaïque,immobilières,consultative,emparer
"2412. Gestion coloniale, ressources, administration indigènes.",tirailleurs,ambulance,vivres,cartouches,colonne,fusils,ravitaillement,officiers,prêt,abriter
2423. « Tirailleurs indigènes dans contexte militaire colonial »,bataillons,chasseurs,infanterie,régiments,zouaves,bataillon,légère,tirailleurs,artillerie,légion
2468. Égalité légale indigènes musulmans citoyens français,musulmans,musulman,citoyens,statut,élus,naturalisation,loi,citoyen,musul,français
2511. Produits agricoles locaux ou pratiques botaniques,betteraves,betterave,314,sucre,orge,oliviers,pur,chanvre,hectolitre,canne
2515. Origine géographique des plantes,pérou,turquie,cultivée,plante,amérique,chine,résine,asie,annuelle,vigne
"2524. Plantes natives, contexte botanique, origine géographique.",acajou,noyer,ébénisterie,domingue,avantageusement,galles,314,malheur,froids,climats
2532. Origine linguistique ou toponymique locale.,récents,générique,septième,conservent,manifestement,nom,idiome,palestine,rhubarbe,neige
"2545. Contexte botanique, description plantes, habitat naturel",tempérées,europe,sucrée,croissent,jaunâtre,amère,régions,climats,midi,forêts
2558. Indigènes chrétiens en contexte colonial européen.,prie,couvent,geste,mulet,ur,triomphe,vœux,culti,brave,domestique
"2578. Indépendance Haïti, Dessalines, Pétion, drapeau.",dessalines,bes,extrémités,arracher,verrons,placées,drapeau,cri,campagnes,nationale
"2582. Fabrication locale, procédés chimiques historiques.",sain,abondant,tubercules,ren,lue,constituait,mémoire,quelqu,tisserands,notice
"2591. Contexte juridique, procédures judiciaires, décrets spécifiques.",statuant,matière,arrêts,paragraphe,cassation,compensation,1868,1879,applicables,statué
2609. Authenticité culturelle et littéraire nationale,vraiment,poésie,plus,inspiration,original,déjeuner,nale,indigène,conformes,habitué
2623. Administration et justice indigènes sous régime colonial,etc,dépréciation,autonome,institutions,publics,monétaire,industries,locales,faune,autochtones
2627. Rôle légal administratif gardes indigènes Congo Belge,gardes,verbaux,légales,gradés,procès,154,passibles,uniforme,précèdent,déter
2631. Interactions coloniales françaises avec autochtones nord-américains,frontenac,canada,iroquois,jésuites,sauvages,comte,jacques,intendant,esquimaux,saint
2637. Espèces végétales/minérales originaires d'une région,europe,asie,bizarres,amérique,birmanie,tropicale,altitude,fleurs,chaudes,australien
2656. Description visuelle d'interactions culturelles contrastées.,rues,costumes,boutiques,ruelles,foule,rue,burnous,assis,gare,voitures
2663. Conflit culturel et interaction avec étrangers,voulurent,allèrent,prirent,attaquent,fenêtres,punition,fuite,hache,adressent,originaux
2673. Interactions commerciales indigènes avec étrangers et richesses,abondants,japonais,envi,mers,secondaires,perles,permission,refuser,gouverne,amazone
2686. Ressources locales économiques ou utilitaires,vénération,marabout,galop,similaires,jouent,farines,produisant,légers,transit,maintient
"2688. Conflits historiques indigènes-Français, contexte colonial.",français,menacé,nité,rébellion,çais,répu,menaces,opposition,immédiat,france
"2692. Races indigènes, pureté, contexte géographique spécifique",prusse,race,regarde,indigène,225,disparu,rattache,descendent,commune,antilles
2721. Origine géographique naturelle des plantes,levant,vivace,croît,ori,frêne,plante,contrées,identiques,vignobles,arbre
"2729. Contexte économique agricole, interaction commerciale indigène.",huile,récolte,palme,olives,hectare,fruits,rendement,amandes,palmeraies,usine
2732. Unités militaires indigènes numérotées en opérations.,drapeau,bataillon,4e,batterie,batail,ba,bataillons,suprême,adi,brigade
2741. Administration coloniale française et politique indigène,indigène,population,justice,administration,société,propriété,politique,hollando,délégation,matière
2775. Contexte économique agricole colonisation indigènes.,agricole,récolte,culture,alimentation,disette,récoltes,fellahs,orge,agricoles,agriculture
"2777. Contexte juridique, distinction français-indigènes",judi,nu,arrêtés,jugements,expédition,justice,instruction,cass,dérogation,personnel
2784. Travail physique indigènes contexte colonial économique,charrettes,roues,portage,transport,bât,chameaux,voitures,porteurs,mulets,transports
2786. Espèces locales en contexte botanique/zoologique scientifique,arbrisseau,fleurs,roses,chou,variété,blanches,marin,courantes,ruisseaux,retenu
2804. Référence géographique naturelle locale spécifique.,appelons,entendait,bordure,landes,consacrée,orgueil,alsace,prières,montagnes,352
"2827. Produits textiles locaux, contexte économique industriel.",coton,tissus,laines,laine,soie,soies,filatures,cotons,cotonnier,cotonnades
2832. Perceptions distinctes des indigènes eux-mêmes,mêmes,volon,inscriptions,montrés,redoutent,examiné,nette,distinction,savent,victimes
2844. Caractéristiques animales locales dans l'élevage,croisements,sélection,hôtes,croisement,amélioration,conformation,laines,passion,tats,rer
"2859. Céréales locales, contexte économique et réglementaire.",blés,blé,farines,céréales,avoines,farine,prix,grains,orge,hectolitre
"2864. Interactions coloniales, influence européenne, résistance indigène.",européens,indigènes,européenne,europe,transactions,français,contact,européen,leurs,entre
"2901. Contexte botanique, description physique précise des plantes.",pieds,branches,arbuste,feuilles,huit,six,jaunâtre,feuillage,plume,couverte
2921. Indigènes dans contextes militaires/administratifs hiérarchiques.,officiers,nommés,grade,cadres,collaborateurs,solde,admis,mandarins,corps,adjudants
2927. Exploitation coloniale et législation indigène.,émigration,décret,assimilés,bert,jeta,1873,syndicats,civil,accident,judiciaire
"2932. Conflit militaire colonial, indigènes leaders/combatants",battu,prisonniers,goum,bataillon,espagnols,extrémités,vaincre,attendent,empereur,poussé
2953. Origine géographique des plantes en botanique,midi,légumineuses,lue,vivace,roses,bleues,cultivé,doubles,fleurs,fossés
3000. Description botanique de plantes indigènes,bleues,tembre,doubles,sep,perd,vivace,fleurs,juin,variétés,feuilles
3004. Espèces locales en contextes botaniques ou zoologiques.,témoignent,botanique,57,échantillons,espèces,166,essences,diffèrent,plantes,convenables
3011. Références géographiques et infrastructures physiques.,33,bougie,piste,marrakech,vierge,64,44,43,90,lits
3031. Statut légal colonial des indigènes français,disciplinaire,dépendances,infractions,relatif,1887,phnom,décret,répression,011,septembre
